All Method Calls (7415)

<at.bestsolution.ext.swing.icon.SolidColoredIcon; addChangeListener[javax.swing.event.ChangeListener]; void; at.bestsolution.ext.swing.AlphaColorJButton; AlphaColorJButton[java.awt.Color, int, int, int, int]; void; null; fill_icon_>
<java.awt.image.ColorModel; isAlphaPremultiplied[]; boolean; org.apache.batik.ext.awt.MultipleGradientPaintContext; getRaster[int, int, int, int]; java.awt.image.Raster; null; model>
<java.lang.ref.Reference; get[]; java.lang.Object; org.apache.batik.ext.awt.MultipleGradientPaintContext; getCachedRaster[java.awt.image.ColorModel, int, int]; java.awt.image.WritableRaster; null; cached>
<java.awt.image.Raster; getWidth[]; int; org.apache.batik.ext.awt.MultipleGradientPaintContext; getCachedRaster[java.awt.image.ColorModel, int, int]; java.awt.image.WritableRaster; null; ras>
<java.awt.image.Raster; getHeight[]; int; org.apache.batik.ext.awt.MultipleGradientPaintContext; getCachedRaster[java.awt.image.ColorModel, int, int]; java.awt.image.WritableRaster; null; ras>
<java.awt.image.ColorModel; createCompatibleWritableRaster[int, int]; java.awt.image.WritableRaster; org.apache.batik.ext.awt.MultipleGradientPaintContext; getCachedRaster[java.awt.image.ColorModel, int, int]; java.awt.image.WritableRaster; null; cm>
<java.lang.ref.Reference; get[]; java.lang.Object; org.apache.batik.ext.awt.MultipleGradientPaintContext; putCachedRaster[java.awt.image.ColorModel, java.awt.image.WritableRaster]; void; null; cached>
<java.awt.image.Raster; getWidth[]; int; org.apache.batik.ext.awt.MultipleGradientPaintContext; putCachedRaster[java.awt.image.ColorModel, java.awt.image.WritableRaster]; void; null; cras>
<java.awt.image.Raster; getHeight[]; int; org.apache.batik.ext.awt.MultipleGradientPaintContext; putCachedRaster[java.awt.image.ColorModel, java.awt.image.WritableRaster]; void; null; cras>
<java.awt.image.Raster; getWidth[]; int; org.apache.batik.ext.awt.MultipleGradientPaintContext; putCachedRaster[java.awt.image.ColorModel, java.awt.image.WritableRaster]; void; null; ras>
<java.awt.image.Raster; getHeight[]; int; org.apache.batik.ext.awt.MultipleGradientPaintContext; putCachedRaster[java.awt.image.ColorModel, java.awt.image.WritableRaster]; void; null; ras>
<org.apache.batik.ext.awt.MultipleGradientPaintContext; putCachedRaster[java.awt.image.ColorModel, java.awt.image.WritableRaster]; void; org.apache.batik.ext.awt.MultipleGradientPaintContext; dispose[]; void; null; this>
<java.awt.geom.Point2D; getX[]; double; org.apache.batik.ext.awt.LinearGradientPaintContext; LinearGradientPaintContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints, java.awt.geom.Point2D, java.awt.geom.Point2D, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum]; void; null; dStart>
<java.awt.geom.Point2D; getY[]; double; org.apache.batik.ext.awt.LinearGradientPaintContext; LinearGradientPaintContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints, java.awt.geom.Point2D, java.awt.geom.Point2D, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum]; void; null; dStart>
<java.awt.geom.Point2D; getX[]; double; org.apache.batik.ext.awt.LinearGradientPaintContext; LinearGradientPaintContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints, java.awt.geom.Point2D, java.awt.geom.Point2D, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum]; void; null; dEnd>
<java.awt.geom.Point2D; getY[]; double; org.apache.batik.ext.awt.LinearGradientPaintContext; LinearGradientPaintContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints, java.awt.geom.Point2D, java.awt.geom.Point2D, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum]; void; null; dEnd>
<java.lang.Math; abs[float]; float; org.apache.batik.ext.awt.LinearGradientPaintContext; LinearGradientPaintContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints, java.awt.geom.Point2D, java.awt.geom.Point2D, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum]; void; null; Math>
<java.lang.Math; abs[float]; float; org.apache.batik.ext.awt.LinearGradientPaintContext; LinearGradientPaintContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints, java.awt.geom.Point2D, java.awt.geom.Point2D, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum]; void; null; Math>
<java.awt.RenderingHints; get[java.lang.Object]; java.lang.Object; org.apache.batik.ext.awt.LinearGradientPaintContext; LinearGradientPaintContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints, java.awt.geom.Point2D, java.awt.geom.Point2D, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum]; void; null; hints>
<java.awt.RenderingHints; get[java.lang.Object]; java.lang.Object; org.apache.batik.ext.awt.LinearGradientPaintContext; LinearGradientPaintContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints, java.awt.geom.Point2D, java.awt.geom.Point2D, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum]; void; null; hints>
<java.lang.Math; ceil[double]; double; org.apache.batik.ext.awt.LinearGradientPaintContext; fillHardNoCycle[int[], int, int, int, int, int, int]; void; null; Math>
<java.lang.Math; ceil[double]; double; org.apache.batik.ext.awt.LinearGradientPaintContext; fillHardNoCycle[int[], int, int, int, int, int, int]; void; null; Math>
<java.lang.Math; ceil[double]; double; org.apache.batik.ext.awt.LinearGradientPaintContext; fillHardNoCycle[int[], int, int, int, int, int, int]; void; null; Math>
<java.lang.Math; ceil[double]; double; org.apache.batik.ext.awt.LinearGradientPaintContext; fillHardNoCycle[int[], int, int, int, int, int, int]; void; null; Math>
<java.lang.Math; ceil[double]; double; org.apache.batik.ext.awt.LinearGradientPaintContext; fillSimpleNoCycle[int[], int, int, int, int, int, int]; void; null; Math>
<java.lang.Math; ceil[double]; double; org.apache.batik.ext.awt.LinearGradientPaintContext; fillSimpleNoCycle[int[], int, int, int, int, int, int]; void; null; Math>
<org.apache.batik.ext.awt.MultipleGradientPaintContext; indexGradientAntiAlias[float, float]; int; org.apache.batik.ext.awt.LinearGradientPaintContext; fillRaster[int[], int, int, int, int, int, int]; void; null; this>
<org.apache.batik.ext.awt.LinearGradientPaintContext; fillHardNoCycle[int[], int, int, int, int, int, int]; void; org.apache.batik.ext.awt.LinearGradientPaintContext; fillRaster[int[], int, int, int, int, int, int]; void; null; this>
<org.apache.batik.ext.awt.MultipleGradientPaintContext; indexIntoGradientsArrays[float]; int; org.apache.batik.ext.awt.LinearGradientPaintContext; fillRaster[int[], int, int, int, int, int, int]; void; null; this>
<org.apache.batik.ext.awt.LinearGradientPaintContext; fillSimpleNoCycle[int[], int, int, int, int, int, int]; void; org.apache.batik.ext.awt.LinearGradientPaintContext; fillRaster[int[], int, int, int, int, int, int]; void; null; this>
<org.apache.batik.ext.awt.LinearGradientPaintContext; fillSimpleRepeat[int[], int, int, int, int, int, int]; void; org.apache.batik.ext.awt.LinearGradientPaintContext; fillRaster[int[], int, int, int, int, int, int]; void; null; this>
<org.apache.batik.ext.awt.LinearGradientPaintContext; fillSimpleReflect[int[], int, int, int, int, int, int]; void; org.apache.batik.ext.awt.LinearGradientPaintContext; fillRaster[int[], int, int, int, int, int, int]; void; null; this>
<java.lang.Math; sqrt[double]; double; org.apache.batik.ext.awt.RadialGradientPaintContext; RadialGradientPaintContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints, float, float, float, float, float, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum]; void; null; Math>
<java.lang.Math; atan2[double, double]; double; org.apache.batik.ext.awt.RadialGradientPaintContext; RadialGradientPaintContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints, float, float, float, float, float, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum]; void; null; Math>
<java.lang.Math; cos[double]; double; org.apache.batik.ext.awt.RadialGradientPaintContext; RadialGradientPaintContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints, float, float, float, float, float, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum]; void; null; Math>
<java.lang.Math; sin[double]; double; org.apache.batik.ext.awt.RadialGradientPaintContext; RadialGradientPaintContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints, float, float, float, float, float, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum]; void; null; Math>
<java.lang.Math; sqrt[double]; double; org.apache.batik.ext.awt.RadialGradientPaintContext; RadialGradientPaintContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints, float, float, float, float, float, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum]; void; null; Math>
<java.awt.RenderingHints; get[java.lang.Object]; java.lang.Object; org.apache.batik.ext.awt.RadialGradientPaintContext; RadialGradientPaintContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints, float, float, float, float, float, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum]; void; null; hints>
<java.awt.RenderingHints; get[java.lang.Object]; java.lang.Object; org.apache.batik.ext.awt.RadialGradientPaintContext; RadialGradientPaintContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints, float, float, float, float, float, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum]; void; null; hints>
<org.apache.batik.ext.awt.RadialGradientPaintContext; calculateFixedPointSqrtLookupTable[]; void; org.apache.batik.ext.awt.RadialGradientPaintContext; RadialGradientPaintContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints, float, float, float, float, float, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum]; void; null; this>
<org.apache.batik.ext.awt.RadialGradientPaintContext; fixedPointSimplestCaseNonCyclicFillRaster[int[], int, int, int, int, int, int]; void; org.apache.batik.ext.awt.RadialGradientPaintContext; fillRaster[int[], int, int, int, int, int, int]; void; null; this>
<org.apache.batik.ext.awt.RadialGradientPaintContext; antiAliasFillRaster[int[], int, int, int, int, int, int]; void; org.apache.batik.ext.awt.RadialGradientPaintContext; fillRaster[int[], int, int, int, int, int, int]; void; null; this>
<org.apache.batik.ext.awt.RadialGradientPaintContext; cyclicCircularGradientFillRaster[int[], int, int, int, int, int, int]; void; org.apache.batik.ext.awt.RadialGradientPaintContext; fillRaster[int[], int, int, int, int, int, int]; void; null; this>
<java.lang.Math; sqrt[double]; double; org.apache.batik.ext.awt.RadialGradientPaintContext; calculateFixedPointSqrtLookupTable[]; void; null; Math>
<java.lang.Math; sqrt[double]; double; org.apache.batik.ext.awt.RadialGradientPaintContext; cyclicCircularGradientFillRaster[int[], int, int, int, int, int, int]; void; null; Math>
<java.lang.Math; sqrt[double]; double; org.apache.batik.ext.awt.RadialGradientPaintContext; cyclicCircularGradientFillRaster[int[], int, int, int, int, int, int]; void; null; Math>
<org.apache.batik.ext.awt.MultipleGradientPaintContext; indexIntoGradientsArrays[float]; int; org.apache.batik.ext.awt.RadialGradientPaintContext; cyclicCircularGradientFillRaster[int[], int, int, int, int, int, int]; void; null; this>
<java.lang.Math; sqrt[double]; double; org.apache.batik.ext.awt.RadialGradientPaintContext; antiAliasFillRaster[int[], int, int, int, int, int, int]; void; null; Math>
<java.lang.Math; sqrt[double]; double; org.apache.batik.ext.awt.RadialGradientPaintContext; antiAliasFillRaster[int[], int, int, int, int, int, int]; void; null; Math>
<java.lang.Math; sqrt[double]; double; org.apache.batik.ext.awt.RadialGradientPaintContext; antiAliasFillRaster[int[], int, int, int, int, int, int]; void; null; Math>
<java.lang.Math; sqrt[double]; double; org.apache.batik.ext.awt.RadialGradientPaintContext; antiAliasFillRaster[int[], int, int, int, int, int, int]; void; null; Math>
<java.lang.Math; sqrt[double]; double; org.apache.batik.ext.awt.RadialGradientPaintContext; antiAliasFillRaster[int[], int, int, int, int, int, int]; void; null; Math>
<java.lang.Math; sqrt[double]; double; org.apache.batik.ext.awt.RadialGradientPaintContext; antiAliasFillRaster[int[], int, int, int, int, int, int]; void; null; Math>
<org.apache.batik.ext.awt.MultipleGradientPaintContext; indexGradientAntiAlias[float, float]; int; org.apache.batik.ext.awt.RadialGradientPaintContext; antiAliasFillRaster[int[], int, int, int, int, int, int]; void; null; this>
<java.lang.Math; max[double, double]; double; org.apache.batik.ext.awt.RadialGradientPaintContext; antiAliasFillRaster[int[], int, int, int, int, int, int]; void; null; Math>
<java.lang.Math; abs[double]; double; org.apache.batik.ext.awt.RadialGradientPaintContext; antiAliasFillRaster[int[], int, int, int, int, int, int]; void; null; Math>
<java.lang.Math; abs[double]; double; org.apache.batik.ext.awt.RadialGradientPaintContext; antiAliasFillRaster[int[], int, int, int, int, int, int]; void; null; Math>
<java.lang.System; arraycopy[java.lang.Object, int, java.lang.Object, int, int]; void; org.apache.batik.ext.awt.MultipleGradientPaint; MultipleGradientPaint[float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum, java.awt.geom.AffineTransform]; void; null; System>
<java.lang.System; arraycopy[java.lang.Object, int, java.lang.Object, int, int]; void; org.apache.batik.ext.awt.MultipleGradientPaint; MultipleGradientPaint[float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum, java.awt.geom.AffineTransform]; void; null; System>
<java.awt.geom.AffineTransform; clone[]; java.lang.Object; org.apache.batik.ext.awt.MultipleGradientPaint; MultipleGradientPaint[float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum, java.awt.geom.AffineTransform]; void; null; gradientTransform>
<java.awt.Color; getAlpha[]; int; org.apache.batik.ext.awt.MultipleGradientPaint; MultipleGradientPaint[float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum, java.awt.geom.AffineTransform]; void; null; colors[i]>
<java.lang.System; arraycopy[java.lang.Object, int, java.lang.Object, int, int]; void; org.apache.batik.ext.awt.MultipleGradientPaint; getColors[]; java.awt.Color[]; null; System>
<java.lang.System; arraycopy[java.lang.Object, int, java.lang.Object, int, int]; void; org.apache.batik.ext.awt.MultipleGradientPaint; getFractions[]; float[]; null; System>
<java.awt.geom.AffineTransform; clone[]; java.lang.Object; org.apache.batik.ext.awt.MultipleGradientPaint; getTransform[]; java.awt.geom.AffineTransform; null; gradientTransform>
<java.awt.geom.Point2D; equals[java.lang.Object]; boolean; org.apache.batik.ext.awt.LinearGradientPaint; LinearGradientPaint[java.awt.geom.Point2D, java.awt.geom.Point2D, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum, java.awt.geom.AffineTransform]; void; null; start>
<java.awt.geom.Point2D; clone[]; java.lang.Object; org.apache.batik.ext.awt.LinearGradientPaint; LinearGradientPaint[java.awt.geom.Point2D, java.awt.geom.Point2D, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum, java.awt.geom.AffineTransform]; void; null; start>
<java.awt.geom.Point2D; clone[]; java.lang.Object; org.apache.batik.ext.awt.LinearGradientPaint; LinearGradientPaint[java.awt.geom.Point2D, java.awt.geom.Point2D, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum, java.awt.geom.AffineTransform]; void; null; end>
<java.awt.geom.AffineTransform; concatenate[java.awt.geom.AffineTransform]; void; org.apache.batik.ext.awt.LinearGradientPaint; createContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints]; java.awt.PaintContext; null; transform>
<org.apache.batik.ext.awt.MultipleGradientPaint; getColors[]; java.awt.Color[]; org.apache.batik.ext.awt.LinearGradientPaint; createContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints]; java.awt.PaintContext; null; this>
<java.lang.Throwable; printStackTrace[]; void; org.apache.batik.ext.awt.LinearGradientPaint; createContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints]; java.awt.PaintContext; null; e>
<java.awt.geom.Point2D; getX[]; double; org.apache.batik.ext.awt.LinearGradientPaint; getStartPoint[]; java.awt.geom.Point2D; null; start>
<java.awt.geom.Point2D; getY[]; double; org.apache.batik.ext.awt.LinearGradientPaint; getStartPoint[]; java.awt.geom.Point2D; null; start>
<java.awt.geom.Point2D; getX[]; double; org.apache.batik.ext.awt.LinearGradientPaint; getEndPoint[]; java.awt.geom.Point2D; null; end>
<java.awt.geom.Point2D; getY[]; double; org.apache.batik.ext.awt.LinearGradientPaint; getEndPoint[]; java.awt.geom.Point2D; null; end>
<java.io.PrintStream; println[java.lang.String]; void; org.apache.batik.ext.awt.LinearGradientPaint; getEndPoint[]; java.awt.geom.Point2D; null; System.err>
<java.lang.Math; random[]; double; org.apache.batik.ext.awt.LinearGradientPaint; getEndPoint[]; java.awt.geom.Point2D; null; Math>
<java.awt.geom.Point2D; clone[]; java.lang.Object; org.apache.batik.ext.awt.RadialGradientPaint; RadialGradientPaint[java.awt.geom.Point2D, float, java.awt.geom.Point2D, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum, java.awt.geom.AffineTransform]; void; null; center>
<java.awt.geom.Point2D; clone[]; java.lang.Object; org.apache.batik.ext.awt.RadialGradientPaint; RadialGradientPaint[java.awt.geom.Point2D, float, java.awt.geom.Point2D, float[], java.awt.Color[], org.apache.batik.ext.awt.MultipleGradientPaint.CycleMethodEnum, org.apache.batik.ext.awt.MultipleGradientPaint.ColorSpaceEnum, java.awt.geom.AffineTransform]; void; null; focus>
<java.awt.geom.RectangularShape; getX[]; double; org.apache.batik.ext.awt.RadialGradientPaint; RadialGradientPaint[java.awt.geom.Rectangle2D, float[], java.awt.Color[]]; void; null; gradientBounds>
<java.awt.geom.RectangularShape; getWidth[]; double; org.apache.batik.ext.awt.RadialGradientPaint; RadialGradientPaint[java.awt.geom.Rectangle2D, float[], java.awt.Color[]]; void; null; gradientBounds>
<java.awt.geom.RectangularShape; getY[]; double; org.apache.batik.ext.awt.RadialGradientPaint; RadialGradientPaint[java.awt.geom.Rectangle2D, float[], java.awt.Color[]]; void; null; gradientBounds>
<java.awt.geom.RectangularShape; getWidth[]; double; org.apache.batik.ext.awt.RadialGradientPaint; RadialGradientPaint[java.awt.geom.Rectangle2D, float[], java.awt.Color[]]; void; null; gradientBounds>
<java.awt.geom.RectangularShape; getWidth[]; double; org.apache.batik.ext.awt.RadialGradientPaint; RadialGradientPaint[java.awt.geom.Rectangle2D, float[], java.awt.Color[]]; void; null; gradientBounds>
<java.awt.geom.AffineTransform; concatenate[java.awt.geom.AffineTransform]; void; org.apache.batik.ext.awt.RadialGradientPaint; createContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints]; java.awt.PaintContext; null; transform>
<java.awt.geom.Point2D; getX[]; double; org.apache.batik.ext.awt.RadialGradientPaint; createContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints]; java.awt.PaintContext; null; center>
<java.awt.geom.Point2D; getY[]; double; org.apache.batik.ext.awt.RadialGradientPaint; createContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints]; java.awt.PaintContext; null; center>
<java.awt.geom.Point2D; getX[]; double; org.apache.batik.ext.awt.RadialGradientPaint; createContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints]; java.awt.PaintContext; null; focus>
<java.awt.geom.Point2D; getY[]; double; org.apache.batik.ext.awt.RadialGradientPaint; createContext[java.awt.image.ColorModel, java.awt.Rectangle, java.awt.geom.Rectangle2D, java.awt.geom.AffineTransform, java.awt.RenderingHints]; java.awt.PaintContext; null; focus>
<java.awt.geom.Point2D; getX[]; double; org.apache.batik.ext.awt.RadialGradientPaint; getCenterPoint[]; java.awt.geom.Point2D; null; center>
<java.awt.geom.Point2D; getY[]; double; org.apache.batik.ext.awt.RadialGradientPaint; getCenterPoint[]; java.awt.geom.Point2D; null; center>
<java.awt.geom.Point2D; getX[]; double; org.apache.batik.ext.awt.RadialGradientPaint; getFocusPoint[]; java.awt.geom.Point2D; null; focus>
<java.awt.geom.Point2D; getY[]; double; org.apache.batik.ext.awt.RadialGradientPaint; getFocusPoint[]; java.awt.geom.Point2D; null; focus>
<java.lang.ref.Reference; get[]; java.lang.Object; org.apache.batik.ext.awt.BufferedImageHintKey; isCompatibleValue[java.lang.Object]; boolean; null; ref>
<org.apache.batik.ext.awt.image.SVGComposite; getRule[]; org.apache.batik.ext.awt.image.CompositeRule; org.apache.batik.ext.awt.image.SVGComposite; equals[java.lang.Object]; boolean; null; svgc>
<org.apache.batik.ext.awt.image.SVGComposite; getRule[]; org.apache.batik.ext.awt.image.CompositeRule; org.apache.batik.ext.awt.image.SVGComposite; equals[java.lang.Object]; boolean; null; this>
<org.apache.batik.ext.awt.image.CompositeRule; getRule[]; int; org.apache.batik.ext.awt.image.SVGComposite; equals[java.lang.Object]; boolean; null; getRule()>
<org.apache.batik.ext.awt.image.SVGComposite; getRule[]; org.apache.batik.ext.awt.image.CompositeRule; org.apache.batik.ext.awt.image.SVGComposite; equals[java.lang.Object]; boolean; getRule[]; this>
<java.awt.image.PackedColorModel; getMasks[]; int[]; org.apache.batik.ext.awt.image.SVGComposite; is_INT_PACK[java.awt.image.ColorModel]; boolean; null; pcm>
<java.awt.image.ColorModel; getColorSpace[]; java.awt.color.ColorSpace; org.apache.batik.ext.awt.image.SVGComposite; createContext[java.awt.image.ColorModel, java.awt.image.ColorModel, java.awt.RenderingHints]; java.awt.CompositeContext; null; srcCM>
<java.awt.image.ColorModel; getColorSpace[]; java.awt.color.ColorSpace; org.apache.batik.ext.awt.image.SVGComposite; createContext[java.awt.image.ColorModel, java.awt.image.ColorModel, java.awt.RenderingHints]; java.awt.CompositeContext; null; dstCM>
<java.io.PrintStream; println[java.lang.String]; void; org.apache.batik.ext.awt.image.SVGComposite; createContext[java.awt.image.ColorModel, java.awt.image.ColorModel, java.awt.RenderingHints]; java.awt.CompositeContext; null; System.out>
<java.io.PrintStream; println[java.lang.String]; void; org.apache.batik.ext.awt.image.SVGComposite; createContext[java.awt.image.ColorModel, java.awt.image.ColorModel, java.awt.RenderingHints]; java.awt.CompositeContext; null; System.out>
<java.io.PrintStream; println[java.lang.String]; void; org.apache.batik.ext.awt.image.SVGComposite; createContext[java.awt.image.ColorModel, java.awt.image.ColorModel, java.awt.RenderingHints]; java.awt.CompositeContext; null; System.out>
<java.awt.color.ColorSpace; getInstance[int]; java.awt.color.ColorSpace; org.apache.batik.ext.awt.image.SVGComposite; createContext[java.awt.image.ColorModel, java.awt.image.ColorModel, java.awt.RenderingHints]; java.awt.CompositeContext; null; ColorSpace>
<java.io.PrintStream; println[java.lang.String]; void; org.apache.batik.ext.awt.image.SVGComposite; createContext[java.awt.image.ColorModel, java.awt.image.ColorModel, java.awt.RenderingHints]; java.awt.CompositeContext; null; System.out>
<java.awt.color.ColorSpace; getInstance[int]; java.awt.color.ColorSpace; org.apache.batik.ext.awt.image.SVGComposite; createContext[java.awt.image.ColorModel, java.awt.image.ColorModel, java.awt.RenderingHints]; java.awt.CompositeContext; null; ColorSpace>
<org.apache.batik.ext.awt.image.SVGComposite; is_INT_PACK[java.awt.image.ColorModel]; boolean; org.apache.batik.ext.awt.image.SVGComposite; createContext[java.awt.image.ColorModel, java.awt.image.ColorModel, java.awt.RenderingHints]; java.awt.CompositeContext; null; this>
<org.apache.batik.ext.awt.image.SVGComposite; is_INT_PACK[java.awt.image.ColorModel]; boolean; org.apache.batik.ext.awt.image.SVGComposite; createContext[java.awt.image.ColorModel, java.awt.image.ColorModel, java.awt.RenderingHints]; java.awt.CompositeContext; null; this>
<org.apache.batik.ext.awt.image.CompositeRule; getRule[]; int; org.apache.batik.ext.awt.image.SVGComposite; createContext[java.awt.image.ColorModel, java.awt.image.ColorModel, java.awt.RenderingHints]; java.awt.CompositeContext; null; rule>
<java.awt.image.ColorModel; hasAlpha[]; boolean; org.apache.batik.ext.awt.image.SVGComposite; createContext[java.awt.image.ColorModel, java.awt.image.ColorModel, java.awt.RenderingHints]; java.awt.CompositeContext; null; dstCM>
